TEST_GROUP,TEST_ITEM,CONDITIONAL_ITEM,DESCRIPTION,FUNCTION,PARAMETER,PDCA_NAME,,GLOBAL_VARIABLE,EXPECTED_VALUE,UNIT,PDCA_TYPE,TIMEOUT,ERROR_MSG,SA_FCM,NOTES,,
INIT,GET_INFO,BOARD_ID==0x28,Set DUT type -N140S,SetGLOBAL,N140S,,,DUT_TYPE,,,,,,TRUE,,,
INIT,GET_INFO,BOARD_ID==0x2A,Set DUT type -N140B,SetGLOBAL,N140B,,,DUT_TYPE,,,,,,TRUE,,,
INIT,GET_INFO,BOARD_ID==0x2C,Set DUT type -N142S,SetGLOBAL,N142S,,,DUT_TYPE,,,,,,TRUE,,,
INIT,GET_INFO,BOARD_ID==0x2E,Set DUT type -N142B,SetGLOBAL,N142B,,,DUT_TYPE,,,,,,TRUE,,,
INIT,GET_INFO,BOARD_ID==0x29,Set for DEV BOARD,SetGLOBAL,N140_DEVS,,,DUT_TYPE,,,,,,TRUE,,,
INIT,GET_INFO,BOARD_ID==0x2B,Set for DEV BOARD,SetGLOBAL,N140_DEVB,,,DUT_TYPE,,,,,,TRUE,,,
INIT,GET_INFO,BOARD_ID==0x2D,Set for DEV BOARD,SetGLOBAL,N142_DEVS,,,DUT_TYPE,,,,,,TRUE,,,
INIT,GET_INFO,BOARD_ID==0x2F,Set for DEV BOARD,SetGLOBAL,N142_DEVB,,,DUT_TYPE,,,,,,TRUE,,,
INIT,GET_MLB_INFO,,Read MLB CFG,DIAGS,syscfg print CFG#,,,,,,,,,TRUE,,,
INIT,GET_MLB_INFO,,Parse MLB CFG,PARSE,MLB_CFG,MLB_CFG_INITIAL,,MLB_CFG,,,,,,TRUE,,,
INIT,GET_INFO,,Functional MB,SetGLOBAL,YES,,,MB,,,,,,TRUE,,,
INIT,GET_INFO,,check dummy MB,"SubStr(0,6)",Montebello,MONTEBELLO_PART,,MB_PART,,,,,,TRUE,,,
INIT,GET_INFO,MB_PART==222222,Not Functional MB,SetGLOBAL,NO,,,MB,,,,,,TRUE,,,
INIT,GET_INFO,,Functional MB for SA_QT0,SetGLOBAL,YES,,,MB,,,,,,TRUE,,,
POWER,QUIESCE_SYSTEM,,Turn OFF General Modules (Codec),DIAGS,audio -r;audio -f,,,,,,,10,,TRUE,,,
POWER,QUIESCE_SYSTEM,,Turn OFF General Modules (socpdm),DIAGS,audio -f socpdm;,,,,,,,,,TRUE,,,
POWER,QUIESCE_SYSTEM,,Turn OFF General Modules (WiFi on),DIAGS,wifi --on,,,,,,,,,TRUE,,,
POWER,QUIESCE_SYSTEM,,Turn OFF General Modules (WiFi off),DIAGS,wifi --off,,,,,,,,,TRUE,,,
POWER,QUIESCE_SYSTEM,,Turn OFF General Modules (BT on),DIAGS,bluetooth --on,,,,,,,,,TRUE,,,
POWER,QUIESCE_SYSTEM,,Turn OFF General Modules (BT off),DIAGS,bluetooth --off,,,,,,,,,TRUE,,,
POWER,QUIESCE_SYSTEM,DUT_TYPE==N142,Turn OFF General Modules(Baseband),DIAGS,baseband --on; baseband --off,,,,,,,,,TRUE,,,
POWER,QUIESCE_SYSTEM,,"Turn OFF Sensors (accel,gyro)",DIAGS,"sensor --sel accel,gyro --turnoff",,,,,,,,,TRUE,,,
POWER,QUIESCE_SYSTEM,,Turn OFF Sensors (lisa),DIAGS,sensor --sel lisa --turnoff,,,,,,,,,TRUE,,,
POWER,QUIESCE_SYSTEM,,Turn OFF Sensors (platinum),DIAGS,sensor --sel platinum --turnoff,,,,,,,,,TRUE,,,
POWER,QUIESCE_SYSTEM,,Turn OFF FCM Modules(touch init),DIAGS,sensor -s touch --init,,,,,,,,,TRUE,,,
POWER,QUIESCE_SYSTEM,,Turn OFF FCM Modules(hid select mt),DIAGS,hid --select multi-touch,,,,,,,,,TRUE,,,
POWER,QUIESCE_SYSTEM,,Turn OFF FCM Modules(hid write 0x42),DIAGS,"hid -w ""0x42 0x07""",,,,,,,,,TRUE,,,
POWER,QUIESCE_SYSTEM,,Turn OFF FCM Modules(hid write 0xF3),DIAGS,"hid -w ""0xF3 0x02""",,,,,,,,,TRUE,,,
FCM,FCM,,Fix Display turn on issue,DIAGS,pmureg -w 0 0x192c 0x01;pmureg -w 0 0x192d 0x08;,,,,,,,,,TRUE,,,
POWER,QUIESCE_SYSTEM,,Turn OFF FCM Modules(display on),DIAGS,display --on,,,,,,,,,TRUE,,,
POWER,QUIESCE_SYSTEM,,Turn OFF FCM Modules(display off),DIAGS,display --off,,,,,,,,,TRUE,,,
POWER,QUIESCE_SYSTEM,,Turn OFF FCM Modules(stockholm off),DIAGS,stockholm --off,,,,,,,,,TRUE,,,
POWER,QUIESCE_SYSTEM,,Turn OFF FCM Modules(touch off),DIAGS,sensor --sel touch --turnoff,,,,,,,,,TRUE,,,
POWER,QUIESCE_SYSTEM,,Turn OFF Sensors (ALS),DIAGS,sensor --sel als --turnoff,,,,,,,,,TRUE,,,
POWER,QUIESCE_SYSTEM,,Configure buck0 to 0.7V,DIAGS,pmurw -w 0x2001 0x78;pmuset --switch buck8 8 --on,,,,,,,,,TRUE,,,
POWER,QUIESCE_SYSTEM,,clear the debug interrupt,DIAGS,tristar -r '0x0d',,,,,,,,,TRUE,,,
POWER,QUIESCE_SYSTEM,,Enable PMU_TO_BB_TX_INHIBIT_L (GPIO17) pullup,DIAGS,pmureg -w 0 0x1937 0x08,,,,,,,,,TRUE,,,
POWER,INIT_SOC_READ,,Read bin voltages from SOC fuses,DIAGS,soc -p get-perf-state,,,,,,,,,TRUE,,,
POWER,INIT_SOC_READ,,PARSE buck4_volt_target_perf4,PARSE,DCS_VOLTAGE,DCS_VOLTAGE,,DCS_VOLTAGE,,mV,KEY,,,TRUE,,,
POWER,INIT_SOC_READ,,PARSE buck5_volt_target_perf4,PARSE,SOC_CPU_VOLTAGE,SOC_CPU_VOLTAGE,,SOC_CPU_VOLTAGE,,mV,KEY,,,TRUE,,,
POWER,INIT_SOC_READ,,PARSE buck6_volt_target_perf4,PARSE,SRAM_VOLTAGE,SRAM_VOLTAGE,,SRAM_VOLTAGE,,mV,KEY,,,TRUE,,,
POWER,INIT_SOC_READ,,PARSE buck7_volt_target_perf4,PARSE,SOC_VOLTAGE,SOC_VOLTAGE,,SOC_VOLTAGE,,mV,KEY,,,TRUE,,,
POWER,INIT_PMU_READ,,Read pmureg 0x3011,DIAGS,pmureg -r 0 0x3011,,,,,,,,,TRUE,,,
POWER,INIT_PMU_READ,,PARSE PMU_LDO0_VSEL before cal,PARSE,PMU_LDO0_VSEL,,,BEFORE_CAL_PMU_LDO0_VSEL,,,,,,TRUE,,,
POWER,INIT_PMU_READ,,CAL PMU_LDO0_VSEL,CALCULATE,BEFORE_CAL_PMU_LDO0_VSEL*3.125+300,PMU_LDO0_VSEL,,PMU_LDO0_VSEL,,,,,,TRUE,,,
POWER,INIT_PMU_READ,,Read PMU ADC Values,DIAGS,pmuadc --read all,,,,,,,15,,FALSE,,,
POWER,INIT_PMU_READ,,Read PMU ADC Values,DIAGS,pmuadc --read temp2,,,,,,,,,TRUE,,,
POWER,INIT_PMU_READ,,Read value o temp2,PARSE,PMU_NTC2,PMUADC_TEMP_NTC2,,,[3300:15000],,,,,TRUE,,,
POWER,INIT_PMU_READ,,Parse mean value of vddout,PARSE,PMUADC_STAT_VDDOUT,INIT_PMUADC_VDDOUT,,,[3500:4750],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of vbat,PARSE,PMUADC_STAT_VBAT,INIT_PMUADC_VBAT,,,[3500:4750],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of vbat (no battery installed),PARSE,PMUADC_STAT_VBAT,INIT_PMUADC_VBAT,,,<2500>,mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of die_temp,PARSE,PMUADC_STAT_DIE_TEMP,INIT_PMUADC_DIE_TEMP,,,[15:50],C,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of tcal,PARSE,PMUADC_STAT_TCAL,INIT_PMUADC_TCAL,,,[60:120],C,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of tbat,PARSE,PMUADC_STAT_TBAT,INIT_PMUADC_TBAT,,,[3300:15000],ohm,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of temp1,PARSE,PMUADC_STAT_TEMP1,INIT_PMUADC_TEMP1,,,[3300:15000],ohm,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of temp2,PARSE,PMUADC_STAT_TEMP2,INIT_PMUADC_TEMP2,,,[3300:15000],ohm,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of temp3,PARSE,PMUADC_STAT_TEMP3,INIT_PMUADC_TEMP3,,,[3300:15000],ohm,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of temp4,PARSE,PMUADC_STAT_TEMP4,INIT_PMUADC_TEMP4,,,[3300:15000],ohm,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse  mean value of temp5,PARSE,PMUADC_STAT_TEMP5,INIT_PMUADC_TEMP5,,,,ohm,,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of temp_ldo4,PARSE,PMUADC_STAT_TEMP_LDO4,INIT_PMUADC_TEMP_LDO4,,,[15:60],C,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of temp_chg,PARSE,PMUADC_STAT_TEMP_CHG,INIT_PMUADC_TEMP_CHG,,,[15:60],C,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of temp_buck0,PARSE,PMUADC_STAT_TEMP_BUCK0,INIT_PMUADC_TEMP_BUCK0,,,[15:60],C,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of temp_buck1,PARSE,PMUADC_STAT_TEMP_BUCK1,INIT_PMUADC_TEMP_BUCK1,,,[15:60],C,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of temp_buck2,PARSE,PMUADC_STAT_TEMP_BUCK2,INIT_PMUADC_TEMP_BUCK2,,,[15:60],C,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of temp_buck3,PARSE,PMUADC_STAT_TEMP_BUCK3,INIT_PMUADC_TEMP_BUCK3,,,[15:60],C,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of temp_buck4,PARSE,PMUADC_STAT_TEMP_BUCK4,INIT_PMUADC_TEMP_BUCK4,,,[15:60],C,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of temp_buck5,PARSE,PMUADC_STAT_TEMP_BUCK5,INIT_PMUADC_TEMP_BUCK5,,,[15:60],C,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of temp_buck6,PARSE,PMUADC_STAT_TEMP_BUCK6,INIT_PMUADC_TEMP_BUCK6,,,[15:60],C,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of temp_buck7,PARSE,PMUADC_STAT_TEMP_BUCK7,INIT_PMUADC_TEMP_BUCK7,,,[15:60],C,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of temp_buck8,PARSE,PMUADC_STAT_TEMP_BUCK8,INIT_PMUADC_TEMP_BUCK8,,,[15:60],C,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of temp_buck9,PARSE,PMUADC_STAT_TEMP_BUCK9,INIT_PMUADC_TEMP_BUCK9,,,[15:60],C,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of temp_buck10,PARSE,PMUADC_STAT_TEMP_BUCK10,INIT_PMUADC_TEMP_BUCK10,,,[15:60],C,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of temp_bubo,PARSE,PMUADC_STAT_TEMP_BUBO,INIT_PMUADC_TEMP_BUBO,,,[15:60],C,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of tjint,PARSE,PMUADC_STAT_TJINT,INIT_PMUADC_TJINT,,,[15:50],C,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ibuck0,PARSE,PMUADC_STAT_IBUCK0,INIT_PMUADC_IBUCK0,,,[1:14],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ibuck1,PARSE,PMUADC_STAT_IBUCK1,INIT_PMUADC_IBUCK1,,,[0.2:22],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ibuck2,PARSE,PMUADC_STAT_IBUCK2,INIT_PMUADC_IBUCK2,,,[0.2:10],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ibuck3,PARSE,PMUADC_STAT_IBUCK3,INIT_PMUADC_IBUCK3,,,[3:27],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ibuck4,PARSE,PMUADC_STAT_IBUCK4,INIT_PMUADC_IBUCK4,,,[1:6.5],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ibuck5,PARSE,PMUADC_STAT_IBUCK5,INIT_PMUADC_IBUCK5,,,[0:30],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ibuck6,PARSE,PMUADC_STAT_IBUCK6,INIT_PMUADC_IBUCK6,,,[0:10],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ibuck7,PARSE,PMUADC_STAT_IBUCK7,INIT_PMUADC_IBUCK7,,,[0:20],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ibuck8,PARSE,PMUADC_STAT_IBUCK8,INIT_PMUADC_IBUCK8,,,[0:20],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ibuck9,PARSE,PMUADC_STAT_IBUCK9,INIT_PMUADC_IBUCK9,,,[0:5],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ibuck10,PARSE,PMUADC_STAT_IBUCK10,INIT_PMUADC_IBUCK10,,,[0:5],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,DUT_TYPE==S,Parse mean value of ich,PARSE,PMUADC_STAT_ICH,INIT_PMUADC_ICH,,,[0:249],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,DUT_TYPE==B,Parse mean value of ich,PARSE,PMUADC_STAT_ICH,INIT_PMUADC_ICH,,,[0:347],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ich,PARSE,PMUADC_STAT_ICH,INIT_PMUADC_ICH,,,[-0.1:2],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of buck0,PARSE,PMUADC_STAT_BUCK0,INIT_PMUADC_BUCK0,,,[667:733],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of buck1,PARSE,PMUADC_STAT_BUCK1,INIT_PMUADC_BUCK1,,,[761.75:825.75],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of buck2,PARSE,PMUADC_STAT_BUCK2,INIT_PMUADC_BUCK2,,,[1120.5:1179.5],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of buck3,PARSE,PMUADC_STAT_BUCK3,INIT_PMUADC_BUCK3,,,[1768.5:1837.5],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of buck4,PARSE,PMUADC_STAT_BUCK4,INIT_PMUADC_BUCK4,,PMU_APPMUX_BUCK4,,mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Calculate delta between buck4 and target voltage,CALCULATE,PMU_APPMUX_BUCK4-DCS_VOLTAGE,INIT_CAL_BUCK4_DELTA,,,[-30.5:30.5],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of buck5,PARSE,PMUADC_STAT_BUCK5,INIT_PMUADC_BUCK5,,PMU_APPMUX_BUCK5,,mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,CALC active_adc_buck5_delta,CALCULATE,PMU_APPMUX_BUCK5-SOC_CPU_VOLTAGE,INIT_CALC_BUCK5_DELTA,,,[-28:28],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of buck6,PARSE,PMUADC_STAT_BUCK6,INIT_PMUADC_BUCK6,,PMU_APPMUX_BUCK6,,mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,CALC active_adc_buck6_delta,CALCULATE,PMU_APPMUX_BUCK6-SRAM_VOLTAGE,INIT_CALC_BUCK6_DELTA,,,[-29.5:29.5],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of buck7,PARSE,PMUADC_STAT_BUCK7,INIT_PMUADC_BUCK7,,PMU_APPMUX_BUCK7,,mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Calculate delta between buck7 and target voltage,CALCULATE,PMU_APPMUX_BUCK7-SOC_VOLTAGE,INIT_CALC_BUCK7_DELTA,,,[-34:34],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of buck8,PARSE,PMUADC_STAT_BUCK8,INIT_PMUADC_BUCK8,,,[819:881],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of buck9,PARSE,PMUADC_STAT_BUCK9,INIT_PMUADC_BUCK9,,,[-50:60],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of buck10,PARSE,PMUADC_STAT_BUCK10,INIT_PMUADC_BUCK10,,,[2140.5:2259.5],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of bubo,PARSE,PMUADC_STAT_BUBO,INIT_PMUADC_BUBO,,,[3224:3476],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of buck2_sw2,PARSE,PMUADC_STAT_SW2A,INIT_PMUADC_STAT_SW2A,,,[-50:60],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of buck2_sw2,PARSE,PMUADC_STAT_SW2B,INIT_PMUADC_STAT_SW2B,,,[1120.5:1179.5],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of buck3_sw3a,PARSE,PMUADC_STAT_SW3A,INIT_PMUADC_STAT_SW3A,,,,mV,,,,FALSE,"Need to check with PMU and Paul what's the history of mean measurements, an dlack of limits",,
POWER,INIT_PMU_READ,,Parse mean value of buck3_sw3b,PARSE,PMUADC_STAT_SW3B,INIT_PMUADC_STAT_SW3B,,,[-50:60],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of buck3_sw3c,PARSE,PMUADC_STAT_SW3C,INIT_PMUADC_STAT_SW3C,,,[1768.5:1837.5],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of vddmain_sw4,PARSE,PMUADC_STAT_SW4,INIT_PMUADC_STAT_SW4,,,<2500>,mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of bubo_sw6,PARSE,PMUADC_STAT_SW6,INIT_PMUADC_BUBO_SW6,,,[3224:3476],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of sw8,PARSE,PMUADC_STAT_SW8,INIT_PMUADC_STAT_SW8,,,[819:881],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ldo0,PARSE,PMUADC_STAT_LDO0,INIT_PMUADC_LDO0,,PP0V6_SLEEP2_LDO0,,mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Calculate delta between ldo0 and target voltage,CALCULATE,PP0V6_SLEEP2_LDO0-PMU_LDO0_VSEL,INIT_CAL_ILDO0_DELTA,,,[-22:22],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ldo1,PARSE,PMUADC_STAT_LDO1,INIT_PMUADC_LDO1,,,[1748:1852],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ldo2,PARSE,PMUADC_STAT_LDO2,INIT_PMUADC_LDO2,,,[2924:3076],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ldo3,PARSE,PMUADC_STAT_LDO3,INIT_PMUADC_LDO3,,,[2924:3076],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ldo4,PARSE,PMUADC_STAT_LDO4,INIT_PMUADC_LDO4,,,[2924:3076],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ldo5,PARSE,PMUADC_STAT_LDO5,INIT_PMUADC_LDO5,,,[-50:60],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ldo6,PARSE,PMUADC_STAT_LDO6,INIT_PMUADC_LDO6,,,[1748:1852],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ldo7,PARSE,PMUADC_STAT_LDO7,INIT_PMUADC_LDO7,,,[2924:3076],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ldo8,PARSE,PMUADC_STAT_LDO8,INIT_PMUADC_LDO8,,,[1846:1954],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ldo9,PARSE,PMUADC_STAT_LDO9,INIT_PMUADC_LDO9,,,[1744:1856],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ldo10,PARSE,PMUADC_STAT_LDO10,INIT_PMUADC_LDO10,,,[2900:4750],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ldo11,PARSE,PMUADC_STAT_LDO11,INIT_PMUADC_LDO11,,,[643.625:687.625],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ldo12,PARSE,PMUADC_STAT_LDO12,INIT_PMUADC_LDO12,,,[578:622],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ldo13,PARSE,PMUADC_STAT_LDO13,INIT_PMUADC_LDO13,,,[2924:3076],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ldo14,PARSE,PMUADC_STAT_LDO14,INIT_PMUADC_LDO14,,,[578:622],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of vrtc,PARSE,PMUADC_STAT_VRTC,INIT_PMUADC_VRTC,,,[2434:2566],mV,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of chg_hr,PARSE,PMUADC_STAT_CHG_HR,INIT_PMUADC_CHG_HR,,,[0:825],mV,,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of chg_hr_off,PARSE,PMUADC_STAT_CHG_HR_OFF,INIT_PMUADC_CHG_HR_OFF,,,[0:825],mV,,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ildo0,PARSE,PMUADC_STAT_ILDO0,INIT_PMUADC_ILDO0,,,[0.2:50],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ildo1,PARSE,PMUADC_STAT_ILDO1,INIT_PMUADC_ILDO1,,,[0:1],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ildo2,PARSE,PMUADC_STAT_ILDO2,INIT_PMUADC_ILDO2,,,[0.5:3.5],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ildo3,PARSE,PMUADC_STAT_ILDO3,INIT_PMUADC_ILDO3,,,[0:3.061],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ildo4,PARSE,PMUADC_STAT_ILDO4,INIT_PMUADC_ILDO4,,,[0:2],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ildo5,PARSE,PMUADC_STAT_ILDO5,INIT_PMUADC_ILDO5,,,[0:0.5],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ildo6,PARSE,PMUADC_STAT_ILDO6,INIT_PMUADC_ILDO6,,,[0:1],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ildo7,PARSE,PMUADC_STAT_ILDO7,INIT_PMUADC_ILDO7,,,[0:1],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ildo8,PARSE,PMUADC_STAT_ILDO8,INIT_PMUADC_ILDO8,,,[0:1],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ildo9,PARSE,PMUADC_STAT_ILDO9,INIT_PMUADC_ILDO9,,,[0:1],mA,KEY,,,FALSE,,,
POWER,INIT_PMU_READ,,Parse mean value of ildo10,PARSE,PMUADC_STAT_ILDO10,INIT_PMUADC_ILDO10,,,[0:2],mA,KEY,,,FALSE,,,
