TEST_GROUP,TEST_ITEM,CONDITIONAL_ITEM,DESCRIPTION,FUNCTION,PARAMETER,PDCA_NAME,COMBINEC,GLOBAL_VARIABLE,EXPECTED_VALUE,UNIT,PDCA_TYPE,TIMEOUT,ERROR_MSG,SA_QT0,QT0,QT1,QT1REL,TILT1,QT2,QT2REL,QT2_POSTROXER,QT_SPIRIT,,,
INIT,GET_MLB_INFO,,Parse MLB Board REV,PARSE,BOARD_REV,BOARD_REV,GET_DUT_INFO_COMBINE,BOARD_REV,,,ATTRIBUTE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_MLB_INFO,,Read MLB Board ID,DIAGS,boardid,,GET_DUT_INFO_COMBINE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_MLB_INFO,,Parse MLBBoard ID,PARSE,BOARD_ID,BOARD_ID,GET_DUT_INFO_COMBINE,BOARD_ID,,,ATTRIBUTE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_INFO,BOARD_ID==0x28,Set DUT type -N140S,SetGLOBAL,N140S,,,DUT_TYPE,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_INFO,BOARD_ID==0x2A,Set DUT type -N140B,SetGLOBAL,N140B,,,DUT_TYPE,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_INFO,BOARD_ID==0x2C,Set DUT type -N142S,SetGLOBAL,N142S,,,DUT_TYPE,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_INFO,BOARD_ID==0x2E,Set DUT type -N142B,SetGLOBAL,N142B,,,DUT_TYPE,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_INFO,BOARD_ID==0x29,Set for DEV BOARD,SetGLOBAL,N140_DEVS,,,DUT_TYPE,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_INFO,BOARD_ID==0x2B,Set for DEV BOARD,SetGLOBAL,N140_DEVB,,,DUT_TYPE,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_INFO,BOARD_ID==0x2D,Set for DEV BOARD,SetGLOBAL,N142_DEVS,,,DUT_TYPE,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_INFO,BOARD_ID==0x2F,Set for DEV BOARD,SetGLOBAL,N142_DEVB,,,DUT_TYPE,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_COMP_INFO,,Read SOC Properties,DIAGS,soc -p,,,,,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_COMP_INFO,,Parse SOC Properties - Fuse Rev,PARSE,SOC_PROP_FUSE_REV,SOC_PROP_FUSE_REV,,,[1:],,ATTRIBUTE,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_COMP_INFO,,Parse SOC Properties - Production Mode,PARSE,SOC_PROP_PRODUCTION_MODE,SOC_PROP_PRODUCTION_MODE,,,<0|1>,,ATTRIBUTE,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_COMP_INFO,,Parse SOC Properties - Revision,PARSE,SOC_PROP_REVISION,SOC_PROP_REVISION,,,<A0|A5|B0|B1>,,ATTRIBUTE,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_COMP_INFO,,Read SOC Chip ID,DIAGS,chipid,,,,,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_COMP_INFO,,Parse SOC Chip ID,PARSE,SOC_CHIP_ID,CHIPID,,,<8004|8006>,,ATTRIBUTE,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_COMP_INFO,,Parse SOC Chip ID Version,PARSE,SOC_CHIP_ID_VERSION,CHIPVER,,,<0.0|8.0|11.0>,,ATTRIBUTE,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_COMP_INFO,,Read SOC Bin Data,DIAGS,soc -p list-perf-state,,,,,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_COMP_INFO,,Parse SOC Bin Data,PARSE,SOC_BIN_VOLTAGE_0,SOC_BIN_VOLTAGE_0,,,,,KEY,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_COMP_INFO,,Read SOC temperture,DIAGS,temperature --dev soc,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,GET_COMP_INFO,,Parse SOC THERMAL0 instant temp,PARSE,SOC_TEMP_INSTANT_0,SOC_TEMP_INSTANT_THERMAL0,,,,,KEY,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,GET_COMP_INFO,,Parse SOC THERMAL0 average temp,PARSE,SOC_TEMP_AVERAGE_0,SOC_TEMP_AVERAGE_THERMAL0,,,,,KEY,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,GET_COMP_INFO,,Parse SOC THERMAL1 instant temp,PARSE,SOC_TEMP_INSTANT_1,SOC_TEMP_INSTANT_THERMAL1,,,,,KEY,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,GET_COMP_INFO,,Parse SOC THERMAL1 average temp,PARSE,SOC_TEMP_AVERAGE_1,SOC_TEMP_AVERAGE_THERMAL1,,,,,KEY,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,GET_COMP_INFO,,Read NAND Properties,DIAGS,bootcfg; nanduid; nandcsid,,,,,,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_COMP_INFO,,Parse Boot Config,PARSE,BOOT_CONFIGURATION,BOOT_CONFIGURATION,,,<0x03|0x04|0x05>,,KEY,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_COMP_INFO,,Parse NAND ID,PARSE,NAND_CSID_NANDID,NAND_CSID_NANDID,,,,,KEY,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_COMP_INFO,,Read PMU ID Registers,DIAGS,pmureg -r 0 0x00 3,,,,,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_COMP_INFO,,Parse PMU MASK REV,PARSE,PMU_ADDR_0,PMU_ID0_MASKREV,,PMU_ID0_MASKREV,<1|2>,,ATTRIBUTE,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_COMP_INFO,,Parse PMU TRIM REV,PARSE,PMU_ADDR_1,PMU_ID1_TRIMREV,,PMU_ID1_TRIMREV,,,ATTRIBUTE,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_COMP_INFO,,Parse PMU PLATFORM ID,PARSE,PMU_ADDR_2,PMU_ID2_PLATFORMID,,PMU_ID2_PLATFORMID,,,ATTRIBUTE,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
POWER,QUIESCE_SYSTEM,,Turn OFF General Modules (Codec),DIAGS,audio -r;audio -f,,,,,,,10,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
POWER,QUIESCE_SYSTEM,,Turn OFF General Modules (socpdm),DIAGS,audio -f socpdm;,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
POWER,QUIESCE_SYSTEM,,"Turn OFF Sensors (accel,gyro)",DIAGS,"sensor --sel accel,gyro --turnoff",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
POWER,QUIESCE_SYSTEM,,Turn OFF Sensors (lisa),DIAGS,sensor --sel lisa --turnoff,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
POWER,QUIESCE_SYSTEM,,Turn OFF Sensors (platinum),DIAGS,sensor --sel platinum --turnoff,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Get SN from SF,GLOBAL,sn,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,GET_INFO,,Scan serial number,SCANSN(12),SCANSN,SCANSN,,sn,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Write SN,SYSCFG,syscfg add SrNm $sn$,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
INIT,GET_SYS_INFO,,Read Unit Serial Number,DIAGS,syscfg print SrNm,,,,,,,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_SYS_INFO,,Parse Unit Serial Number,PARSE,SrNm,UNIT_SN,,UNIT_SN,,,ATTRIBUTE,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,The middle of SN#,PARSESN,,,,,,,,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
START_CB,START_CONTROLBIT,,Write Control Bit Information (station specific command),FIXTURE,(station specific command),,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
START_CB,START_CONTROLBIT,,Read Control Bit Information (station specific command),FIXTURE,(station specific command),,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,GET_MLB_INFO,,Read MLB CFG,DIAGS,syscfg print CFG#,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_MLB_INFO,,Parse MLB CFG,PARSE,MLB_CFG,MLB_CFG_INITIAL,,MLB_CFG,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Config,GLOBAL,config,CONFIG,,config,,,ATTRIBUTE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Get Housing Config,"SubStr(0,2)",config,,,HOUSING,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Append string:config to CFG#,AppendGlobalStr,"MLB_CFG/,/config",,,NewCFG,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Write MLB CFG,SYSCFG,syscfg add CFG# $NewCFG$,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Read MLB CFG 2,DIAGS,syscfg print CFG#,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,MLB_CFG_APPENED,PARSE,MLB_CFG,MLB_CFG_APPENED,,MLB_CFG_NEW,,,ATTRIBUTE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,GG_CHECK,,Read Battery Gasgauge,DIAGS,device -k gasgauge -g charge-percentage,,,,,,,15,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,,,
INIT,GG_CHECK,,Check battery percentage,FAILSTOP,GG_CHARGE_PERCENTAGE,,,,[10:],,,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,,,
BATTERY,BATTERY_PROPERTIES,,Read Battery Max Discharge Current ,DIAGS,device -k gasgauge -e read_lifetime_max_dsg_c,,,,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,
BATTERY,BATTERY_PROPERTIES,,Parse Battery Max Discharge Current ,PARSE,BATTERY_DSG_CURRENT_MAX,BATTERY_DSG_CURRENT_MAX_INIT,,,[-1500:0],mA,KEY,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,
INIT,RTC,,Set RTC,DIAGS,rtc --set nowtime(),,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Get BART type,GLOBAL,Tigerdmin,,,Tigerdmin,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Get BART type - ICT,GLOBAL,crowndmin,,,crowndmin,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Truncate EEEE codes,"SubStr(12,4)",BUCKET,,,BUCKET_EEEE,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,Tigerdmin==nil && DUT_TYPE==N142,Get Tigerdmin,SetGLOBAL,0x001002A5 0x00000005,,,Tigerdmin,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,crowndmin==nil && DUT_TYPE==N142,Get crowndmin,SetGLOBAL,0x001002A5 0x00000005,,,crowndmin,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,Tigerdmin==nil && DUT_TYPE==N140,Get Tigerdmin,SetGLOBAL,0x001002A5 0x00000004,,,Tigerdmin,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,crowndmin==nil && DUT_TYPE==N140,Get crowndmin,SetGLOBAL,0x001002A5 0x00000004,,,crowndmin,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Get Lisa Dmin,SetGLOBAL,0x00000002 0x00000000,,,lisadmin,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,Tigerdmin!=N/A,Append string:lisadmin to Tigerdmin,AppendGlobalStr,Tigerdmin/ /lisadmin,,,SFCLsBT,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,crowndmin!=N/A,Append string:lisadmin to crowndmin,AppendGlobalStr,crowndmin/ /lisadmin,,,SFCLsBT,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Nissei bart LsBT for Spirit-P1 only,SYSCFG,syscfg add LsBT 0x001002A5 0x00000003 0x00000001 0x00000000,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Get Tiger Dmin-P1 only,SetGLOBAL,0x001002A5 0x00000003,,,Tigerdmin,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,Tigerdmin==0x00000002 | crowndmin==0x00000002,LF bart LsBT for Spirit,SYSCFG,syscfg add LsBT 0x001002A5 0x00000002 0x00000001 0x00000000,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,Tigerdmin==0x00000004 | crowndmin==0x00000004,LF bart LsBT for Spirit,SYSCFG,syscfg add LsBT 0x001002A5 0x00000004 0x00000001 0x00000000,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Write LsBT,SYSCFG,syscfg add LsBT $SFCLsBT$,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Read LsBT,DIAGS,syscfg print LsBT,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,LSBT_SYSCFG_VALUE,PARSE,LSBT_SYSCFG_VALUE,LsBT,,DUTLsBT,,,ATTRIBUTE,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Get EnMt,GLOBAL,housmaterialdmin,EnMt,,SFCEnMt,,,ATTRIBUTE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Write EnMt,SYSCFG,syscfg add EnMt $SFCEnMt$,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Read EnMt,DIAGS,syscfg print EnMt,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Write EnMt (QT-Spirit only test Spirts/NEDs),SYSCFG,syscfg add EnMt 0x00000001 0x00000000 0x00000000 0x00000005,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Read EnMt (QT-Spirit only test Spirts/NEDs),DIAGS,syscfg print EnMt,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,ENMT_SYSCFG_VALUE,PARSE,ENMT_SYSCFG_VALUE,,,EnMt_Syscfg,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Get CLHS,GLOBAL,houscolordmin,CLHS,,SFCCLHS,,,ATTRIBUTE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Write CLHS,SYSCFG,syscfg add CLHS $SFCCLHS$,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Read CLHS,DIAGS,syscfg print CLHS,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,CLHS_SYSCFG_VALUE,PARSE,CLHS_SYSCFG_VALUE,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Get BGMt,GLOBAL,backcrystalmaterialdmin,BGMt,,SFCBGMT,,,ATTRIBUTE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Write BGMt,SYSCFG,syscfg add BGMt $SFCBGMT$,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,Read BGMt,DIAGS,syscfg print BGMt,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
INIT,QUERY_SFC_WRITE_SYSCFG,,BGMT_SYSCFG_VALUE,PARSE,BGMT_SYSCFG_VALUE,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
